final,raw,source,captured,width,height
dji_20260822_143820_0137.jpg,DJI_20260822143820_0001_D.JPG,dji,2026-08-22T14:38:20,3871,2177
dji_20260822_143837_0138.jpg,DJI_20260822143837_0002_D(1).JPG,dji,2026-08-22T14:38:37,3277,1843
dji_20260822_143844_0140.jpg,DJI_20260822143844_0003_D.JPG,dji,2026-08-22T14:38:44,4096,2304
dji_20260822_143917_0141.jpg,DJI_20260822143917_0004_D.JPG,dji,2026-08-22T14:39:17,3277,1843
dji_20260822_143919_0142.jpg,DJI_20260822143919_0005_D.JPG,dji,2026-08-22T14:39:19,3277,1843
dji_20260822_144017_0143.jpg,DJI_20260822144017_0007_D.JPG,dji,2026-08-22T14:40:17,4096,2304
dji_20260822_144049_0144.jpg,DJI_20260822144049_0008_D.JPG,dji,2026-08-22T14:40:49,4096,2304
iphone_20260602_155528_0010.jpg,IMG_9152.HEIC,iphone,2026-06-02T15:55:28,4032,3024
iphone_20260618_182819_0011.jpg,IMG_9493(1).HEIC,iphone,2026-06-18T18:28:19,3024,4032
iphone_20260618_182820_0013.jpg,IMG_9494.HEIC,iphone,2026-06-18T18:28:20,3024,4032
iphone_20260618_182828_0015.jpg,IMG_9497.HEIC,iphone,2026-06-18T18:28:28,3024,4032
iphone_20260618_182838_0016.jpg,IMG_9498.HEIC,iphone,2026-06-18T18:28:38,3024,4032
iphone_20260618_182857_0017.jpg,IMG_9503.HEIC,iphone,2026-06-18T18:28:57,4032,3024
iphone_20260618_182912_0018.jpg,IMG_9509.HEIC,iphone,2026-06-18T18:29:12,3919,2939
iphone_20260618_182933_0019.jpg,IMG_9511.HEIC,iphone,2026-06-18T18:29:33,4032,3024
iphone_20260618_182937_0020.jpg,IMG_9513.HEIC,iphone,2026-06-18T18:29:37,4032,3024
iphone_20260618_182942_0021.jpg,IMG_9516.HEIC,iphone,2026-06-18T18:29:42,4032,3024
nikon_20150708_140141_0004.jpg,DSC_3425.JPG,nikon,2015-07-08T14:01:41,4288,2848
